x,U_0,U_1,U_2
0.00125,9.01427e-15,2.99911e-17,0
0.00375,9.68093e-15,3.12923e-17,0
0.00625,1.0138e-14,1.44056e-16,0
0.00875,1.01167e-14,2.53412e-16,0
0.01125,1.02169e-14,2.81788e-16,0
0.01375,1.05013e-14,2.46629e-16,0
0.01625,1.12744e-14,1.96696e-16,0
0.01875,1.20511e-14,1.55719e-16,0
0.02125,1.24075e-14,1.19595e-16,0
0.02375,1.10271e-14,5.85522e-17,0
0.02625,8.93345e-15,3.9081e-17,0
0.02875,7.77669e-15,3.3904e-17,0
0.03125,7.53719e-15,1.06023e-17,0
0.03375,7.09597e-15,8.26819e-18,0
0.03625,6.44012e-15,3.80974e-18,0
0.03875,6.43755e-15,-1.23173e-17,0
0.04125,6.59242e-15,-1.89433e-17,0
0.04375,7.46324e-15,-3.96098e-17,0
0.04625,9.4059e-15,-5.63568e-17,0
0.04875,1.06721e-14,-7.90231e-17,0
0.05125,1.13306e-14,-1.01367e-16,0
0.05375,1.05386e-14,-1.27692e-16,0
0.05625,9.86628e-15,-1.44807e-16,0
0.05875,1.01523e-14,-1.83638e-16,0
0.06125,8.44783e-15,-1.34067e-16,0
0.06375,7.53983e-15,-1.54538e-17,0
0.06625,8.48851e-15,7.78552e-17,0
0.06875,9.9647e-15,1.59667e-16,0
0.07125,1.11037e-14,2.22331e-16,0
0.07375,1.12679e-14,2.17171e-16,0
0.07625,1.13879e-14,2.1005e-16,0
0.07875,1.17911e-14,2.01804e-16,0
0.08125,1.24358e-14,2.18259e-16,0
0.08375,1.43782e-14,2.45442e-16,0
0.08625,1.67309e-14,3.63126e-16,0
0.08875,1.76786e-14,2.74294e-16,0
0.09125,1.71034e-14,2.43059e-16,0
0.09375,1.62791e-14,2.18334e-16,0
0.09625,1.58831e-14,2.14636e-16,0
0.09875,1.58399e-14,2.47361e-16,0
0.10125,1.53544e-14,2.94628e-16,0
0.10375,1.51538e-14,1.97612e-16,0
0.10625,1.58833e-14,1.62511e-16,0
0.10875,1.65384e-14,1.11867e-16,0
0.11125,1.69011e-14,8.8452e-17,0
0.11375,1.56226e-14,7.4909e-17,0
0.11625,1.44198e-14,5.64129e-17,0
0.11875,1.37064e-14,3.31351e-17,0
0.12125,1.21046e-14,2.6191e-17,0
0.12375,1.05289e-14,1.95663e-17,0
0.12625,9.02556e-15,3.85043e-17,0
0.12875,6.66742e-15,-1.53615e-17,0
0.13125,4.02967e-15,-4.16496e-18,0
0.13375,2.54789e-15,1.63382e-18,0
0.13625,1.41475e-15,1.2097e-18,0
0.13875,4.66008e-16,7.20511e-19,0
0.14125,1.13577e-15,6.05297e-19,0
0.14375,1.84848e-15,6.71202e-19,0
0.14625,2.03e-15,1.31664e-18,0
0.14875,1.69358e-15,1.57808e-18,0
0.15125,1.38128e-15,3.41682e-18,0
0.15375,1.0891e-15,5.07886e-18,0
0.15625,-8.5579e-16,6.827e-18,0
0.15875,-1.24661e-15,9.56145e-18,0
0.16125,-9.42202e-16,1.3378e-17,0
0.16375,-7.14665e-16,1.75196e-17,0
0.16625,-4.61722e-16,2.23771e-17,0
0.16875,-4.19988e-16,4.20515e-17,0
0.17125,3.941e-17,4.45348e-17,0
0.17375,1.00048e-15,3.65592e-17,0
0.17625,1.27787e-15,1.42521e-16,0
0.17875,2.22404e-15,-2.97506e-18,0
0.18125,2.01385e-14,4.31251e-17,0
0.18375,3.5765e-13,5.66252e-17,0
0.18625,7.97943e-12,1.48533e-16,0
0.18875,1.76954e-10,-1.34594e-16,0
0.19125,3.94538e-09,-6.14331e-17,0
0.19375,8.8914e-08,-5.19142e-17,0
0.19625,2.02362e-06,8.98455e-17,0
0.19875,4.24775e-05,-1.92327e-16,0
0.20125,0.00059385,-5.69847e-17,0
0.20375,0.00379465,-4.6567e-17,0
0.20625,0.0110719,-3.66713e-17,0
0.20875,0.0202436,-1.70698e-17,0
0.21125,0.0295966,-1.47235e-17,0
0.21375,0.0385964,-1.28163e-17,0
0.21625,0.0472267,-5.13987e-18,0
0.21875,0.0555945,-1.15689e-18,0
0.22125,0.0638006,4.01021e-18,0
0.22375,0.0719151,9.93391e-18,0
0.22625,0.0799812,1.47067e-17,0
0.22875,0.0880247,2.316e-17,0
0.23125,0.0960602,3.02425e-17,0
0.23375,0.104096,5.14308e-17,0
0.23625,0.112136,3.70459e-19,0
0.23875,0.120184,4.06542e-16,0
0.24125,0.12824,-7.8704e-17,0
0.24375,0.136304,-3.59935e-17,0
0.24625,0.144377,-9.60215e-17,0
0.24875,0.152459,5.35922e-16,0
0.25125,0.160549,-7.21812e-17,0
0.25375,0.168646,3.82044e-16,0
0.25625,0.176751,7.74579e-17,0
0.25875,0.184862,7.99308e-16,0
0.26125,0.19298,8.13143e-17,0
0.26375,0.201104,5.15211e-16,0
0.26625,0.209233,4.60968e-17,0
0.26875,0.217367,8.36465e-16,0
0.27125,0.225505,2.26448e-16,0
0.27375,0.233648,4.34018e-16,0
0.27625,0.241795,4.35568e-16,0
0.27875,0.249945,6.04081e-17,0
0.28125,0.258099,9.69291e-16,0
0.28375,0.266256,2.10557e-16,0
0.28625,0.274416,7.97548e-16,0
0.28875,0.282578,-2.59662e-16,0
0.29125,0.290743,5.80362e-16,0
0.29375,0.29891,-1.23824e-16,0
0.29625,0.307079,9.26374e-16,0
0.29875,0.31525,-3.50937e-18,0
0.30125,0.323422,8.07931e-16,0
0.30375,0.331596,-2.14989e-16,0
0.30625,0.339772,9.07123e-16,0
0.30875,0.347948,3.01455e-17,0
0.31125,0.356126,9.58492e-16,0
0.31375,0.364304,-1.4729e-16,0
0.31625,0.372484,5.60982e-16,0
0.31875,0.380664,2.26549e-16,0
0.32125,0.388844,5.43168e-16,0
0.32375,0.397026,6.29885e-16,0
0.32625,0.405207,1.49331e-16,0
0.32875,0.413389,4.40775e-16,0
0.33125,0.421571,9.8844e-17,0
0.33375,0.429754,8.09988e-16,0
0.33625,0.437936,1.70955e-16,0
0.33875,0.446118,7.52551e-16,0
0.34125,0.4543,-1.4209e-16,0
0.34375,0.462482,7.71669e-16,0
0.34625,0.470663,-6.90914e-18,0
0.34875,0.478845,6.08e-16,0
0.35125,0.487025,9.55394e-17,0
0.35375,0.495205,5.81386e-16,0
0.35625,0.503384,3.05569e-16,0
0.35875,0.511563,4.04755e-17,0
0.36125,0.51974,2.621e-16,0
