x,p,T
0.00125,1,2.5
0.00375,1,2.5
0.00625,1,2.5
0.00875,1,2.5
0.01125,1,2.5
0.01375,1,2.5
0.01625,1,2.5
0.01875,1,2.5
0.02125,1,2.5
0.02375,1,2.5
0.02625,1,2.5
0.02875,1,2.5
0.03125,1,2.5
0.03375,1,2.5
0.03625,1,2.5
0.03875,1,2.5
0.04125,1,2.5
0.04375,1,2.5
0.04625,1,2.5
0.04875,1,2.5
0.05125,1,2.5
0.05375,1,2.5
0.05625,1,2.5
0.05875,1,2.5
0.06125,1,2.5
0.06375,1,2.5
0.06625,1,2.5
0.06875,1,2.5
0.07125,1,2.5
0.07375,1,2.5
0.07625,1,2.5
0.07875,1,2.5
0.08125,1,2.5
0.08375,1,2.5
0.08625,1,2.5
0.08875,1,2.5
0.09125,1,2.5
0.09375,1,2.5
0.09625,1,2.5
0.09875,1,2.5
0.10125,1,2.5
0.10375,1,2.5
0.10625,1,2.5
0.10875,1,2.5
0.11125,1,2.5
0.11375,1,2.5
0.11625,1,2.5
0.11875,1,2.5
0.12125,1,2.5
0.12375,1,2.5
0.12625,1,2.5
0.12875,1,2.5
0.13125,1,2.5
0.13375,1,2.5
0.13625,1,2.5
0.13875,1,2.5
0.14125,1,2.5
0.14375,1,2.5
0.14625,1,2.5
0.14875,1,2.5
0.15125,1,2.5
0.15375,1,2.5
0.15625,1,2.5
0.15875,1,2.5
0.16125,1,2.5
0.16375,1,2.5
0.16625,1,2.5
0.16875,1,2.5
0.17125,1,2.5
0.17375,1,2.5
0.17625,1,2.5
0.17875,1,2.5
0.18125,1,2.5
0.18375,1,2.5
0.18625,1,2.5
0.18875,1,2.5
0.19125,1,2.5
0.19375,1,2.5
0.19625,0.999997,2.5
0.19875,0.999945,2.49997
0.20125,0.99933,2.49955
0.20375,0.99594,2.49726
0.20625,0.987851,2.49177
0.20875,0.977104,2.48427
0.21125,0.966092,2.47632
0.21375,0.955633,2.46863
0.21625,0.945748,2.46127
0.21875,0.936284,2.45417
0.22125,0.927104,2.44724
0.22375,0.918116,2.44042
0.22625,0.909263,2.43366
0.22875,0.900513,2.42693
0.23125,0.891846,2.42022
0.23375,0.883253,2.41353
0.23625,0.874728,2.40684
0.23875,0.866266,2.40015
0.24125,0.857867,2.39347
0.24375,0.84953,2.3868
0.24625,0.841254,2.38012
0.24875,0.833038,2.37345
0.25125,0.824884,2.36678
0.25375,0.816791,2.36011
0.25625,0.808759,2.35344
0.25875,0.800788,2.34678
0.26125,0.792879,2.34013
